	order_s_in_text	sentence	word	tf_idf
12	13	По милым, отдаленным воспоминаниям детства она всегда любила этот день и всегда ожидала от него чего-то счастливо-чудесного	['милый', 'отдалить', 'воспоминание', 'детство', 'любить', 'день', 'ожидать', 'что-то', 'счастливо-чудесный']	[0.2032797984782888, 0.33395660504003116, 0.2670610504480353, 0.25629327122491796, 0.18479852939311936, 0.18704335006959566, 0.28094313229340195, 0.2474953549974041, 0.33395660504003116]
13	14	Муж, уезжая утром по спешным делам в город, положил ей на ночной столик футляр с прекрасными серьгами из грушевидных жемчужин, и этот подарок еще больше веселил ее Она была одна во всем доме	['муж', 'уезжать', 'утром', 'спешный', 'дело', 'город', 'положить', 'ночной', 'столик', 'футляр', 'прекрасный', 'серьга', 'грушевидный', 'жемчужина', 'подарок', 'ещё', 'большой', 'веселить', 'весь', 'дом']	[0.08634279222037258, 0.13522897248481497, 0.13522897248481497, 0.15028047226801403, 0.09147590931522998, 0.09297407048410213, 0.10512597291841684, 0.1264244095320309, 0.15028047226801403, 0.1153319720512131, 0.08875802619910034, 0.15028047226801403, 0.15028047226801403, 0.15028047226801403, 0.1153319720512131, 0.07502297335201873, 0.07370652641590127, 0.15028047226801403, 0.06810783844370465, 0.08522897248481497]
14	15	Ее холостой брат Николай, товарищ прокурора, живший обыкновенно вместе с ними, также уехал в город, в суд	['холостой', 'брат', 'николай', 'товарищ', 'прокурор', 'жить', 'обыкновенно', 'вместе', 'также', 'уехать', 'город', 'суд']	[0.22538162080802493, 0.19221995341868847, 0.12737401588671815, 0.18004261711216862, 0.19221995341868847, 0.18004261711216862, 0.22538162080802493, 0.20029578783602647, 0.17094724466007963, 0.20029578783602647, 0.1549567841401702, 0.22538162080802493]
15	16	К обеду муж обещал привезти немногих и только самых близких знакомых	['обед', 'муж', 'обещать', 'привезти', 'немногий', 'самый', 'близкий', 'знакомый']	[0.2628149322960421, 0.21585698055093144, 0.30044368175403974, 0.3380724312120374, 0.37570118067003505, 0.21585698055093144, 0.3380724312120374, 0.25642086699011946]
16	17	Хорошо выходило, что именины совпали с дачным временем	['выходить', 'именины', 'совпасть', 'дачный', 'время']	[0.5056976381281236, 0.5056976381281236, 0.6011218890720561, 0.5056976381281236, 0.3181272194778925]
17	18	В городе пришлось бы тратиться на большой парадный обед, пожалуй даже на бал, а здесь, на даче, можно было обойтись самыми небольшими расходами	['город', 'прийтись', 'тратиться', 'большой', 'парадный', 'обед', 'пожалуй', 'бал', 'дача', 'обойтись', 'самый', 'небольшой', 'расход']	[0.14303703151400327, 0.19449909158773984, 0.23120072656617544, 0.11339465602446348, 0.23120072656617544, 0.1617322660283336, 0.23120072656617544, 0.17743380315571244, 0.17134293807512593, 0.23120072656617544, 0.13283506495441935, 0.18488841954094754, 0.23120072656617544]
18	19	Князь Шеин, несмотря на свое видное положение в обществе, а может быть, и благодаря ему, едва сводил концы с концами	['конец', 'князь', 'шеин', 'несмотря', 'свой', 'видный', 'положение', 'общество', 'мочь', 'благодаря', 'едва', 'сводить']	[0.3234645320566672, 0.11439196196018407, 0.13464130309669034, 0.17134293807512593, 0.09920046936349856, 0.20804457305356147, 0.17134293807512593, 0.19449909158773984, 0.11242626161615421, 0.20804457305356147, 0.19449909158773984, 0.20804457305356147]
19	20	Огромное родовое имение было почти совсем расстроено его предками, а жить приходилось выше средств: делать приемы, благотворить, хорошо одеваться, держать лошадей и т	['огромный', 'родовой', 'имение', 'расстроить', 'предок', 'жить', 'приходиться', 'выше', 'средство', 'делать', 'приём', 'благотворить', 'одеваться', 'держать', 'лошадь']	[0.16023663026882118, 0.2003739630240187, 0.18030529664641995, 0.2003739630240187, 0.2003739630240187, 0.1440340936897349, 0.15377596273495078, 0.18030529664641995, 0.2003739630240187, 0.1200992975136237, 0.2003739630240187, 0.2003739630240187, 0.16856587937604117, 0.13094778401347038, 0.15377596273495078]
20	21	д	['далее']	[2.3066394410242617]
21	22	Княгиня Вера, у которой прежняя страстная любовь к мужу давно уже перешла в чувство прочной, верной, истинной дружбы, всеми силами старалась помочь князю удержаться от полного разорения	['княгиня', 'вера', 'прежний', 'страстный', 'любовь', 'муж', 'давно', 'перейти', 'чувство', 'прочный', 'верный', 'истинный', 'дружба', 'весь', 'сила', 'стараться', 'помочь', 'князь', 'удержаться', 'полный', 'разорение']	[0.07739991445946069, 0.051005285434129174, 0.10983997338210769, 0.11445473590630084, 0.06632502803050214, 0.08223123068606912, 0.09768413980575978, 0.14312425930287048, 0.09768413980575978, 0.14312425930287048, 0.11445473590630084, 0.12040419955431512, 0.12040419955431512, 0.06486460804162347, 0.11445473590630084, 0.12040419955431512, 0.12040419955431512, 0.07081407168963776, 0.12878949760458566, 0.10011997420801602, 0.14312425930287048]
22	23	Она во многом, незаметно для него, отказывала себе и, насколько возможно, экономила в домашнем хозяйстве Теперь она ходила по саду и осторожно срезала ножницами цветы к обеденному столу	['многое', 'незаметно', 'отказывать', 'насколько', 'возможно', 'экономить', 'домашний', 'хозяйство', 'ходить', 'сад', 'осторожно', 'срезать', 'ножницы', 'цветок', 'обеденный', 'стол']	[0.18785059033501753, 0.1690362156060187, 0.18785059033501753, 0.18785059033501753, 0.1690362156060187, 0.18785059033501753, 0.14416496506401635, 0.1690362156060187, 0.12535059033501753, 0.1580305119150386, 0.15022184087701987, 0.1690362156060187, 0.1690362156060187, 0.1392161371860398, 0.18785059033501753, 0.11822913081584023]
23	24	Клумбы опустели и имели беспорядочный вид	['клумба', 'опустеть', 'иметь', 'беспорядочный', 'вид']	[0.5409158899392599, 0.6011218890720561, 0.42050389167366736, 0.6011218890720561, 0.43210228106920473]
24	25	Доцветали разноцветные махровые гвоздики, а также левкой — наполовину в цветах, а наполовину в тонких зеленых стручьях, пахнувших капустой, розовые кусты еще давали — в третий раз за это лето — бутоны и розы, но уже измельчавшие, редкие, точно выродившиеся	['наполовину', 'доцветать', 'разноцветный', 'махровый', 'гвоздик', 'также', 'левкой', 'цвета', 'тонкий', 'зелёный', 'стручей', 'пахнуть', 'капуста', 'розовый', 'куст', 'ещё', 'давать', 'третий', 'лето', 'бутон', 'роза', 'измельчать', 'редкий', 'точно', 'выродиться']	[0.23120072656617544, 0.11560036328308772, 0.11560036328308772, 0.11560036328308772, 0.11560036328308772, 0.07889872830465214, 0.11560036328308772, 0.11560036328308772, 0.08567146903756297, 0.0830965925133086, 0.11560036328308772, 0.0808661330141668, 0.11560036328308772, 0.08871690157785622, 0.10402228652678074, 0.05770997950155286, 0.0830965925133086, 0.11560036328308772, 0.08567146903756297, 0.11560036328308772, 0.09244420977047377, 0.11560036328308772, 0.08871690157785622, 0.06251531552494902, 0.11560036328308772]
25	26	Зато пышно цвели своей холодной, высокомерной красотою георгины, пионы и астры, распространяя в чутком воздухе осенний, травянистый, грустный запах	['зато', 'пышно', 'цвель', 'свой', 'холодный', 'высокомерный', 'красота', 'георгин', 'пион', 'астр', 'распространять', 'чуткий', 'воздух', 'осенний', 'травянистый', 'грустный', 'запах']	[0.14138526200190105, 0.17680055560942826, 0.17680055560942826, 0.07585918245444007, 0.13568467300142714, 0.17680055560942826, 0.11797702619766355, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.13102695264568454, 0.1487345994494481, 0.17680055560942826, 0.15909290880566465, 0.14138526200190105]
26	27	Остальные цветы после своей роскошной любви и чрезмерного обильного летнего материнства тихо осыпали на землю бесчисленные семена будущей жизни Близко на шоссе послышались знакомые звуки автомобильного трехтонного рожка	['остальной', 'цветок', 'свой', 'роскошный', 'любовь', 'чрезмерный', 'обильный', 'летний', 'материнство', 'тихо', 'осыпать', 'земля', 'бесчисленный', 'семя', 'будущий', 'жизнь', 'близко', 'шоссе', 'послышаться', 'знакомый', 'звук', 'автомобильный', 'трехтонный', 'рожок']	[0.11269081040401246, 0.09281075812402653, 0.053733587571895045, 0.12523372689001167, 0.05803439952668937, 0.12523372689001167, 0.11269081040401246, 0.12523372689001167, 0.11269081040401246, 0.09610997670934424, 0.12523372689001167, 0.08547362233003981, 0.12523372689001167, 0.12523372689001167, 0.12523372689001167, 0.06849506705594531, 0.11269081040401246, 0.11269081040401246, 0.10014789391801324, 0.08547362233003981, 0.10535367461002573, 0.12523372689001167, 0.12523372689001167, 0.10535367461002573]
27	28	Это подъезжала сестра княгини Веры — Анна Николаевна Фриессе, с утра обещавшая по телефону приехать помочь сестре принимать гостей и по хозяйству Тонкий слух не обманул Веру	['сестра', 'вера', 'подъезжать', 'княгиня', 'анна', 'николаевич', 'фриесс', 'утро', 'обещать', 'телефон', 'приехать', 'помочь', 'принимать', 'гость', 'хозяйство', 'тонкий', 'слух', 'обмануть']	[0.16438816093426878, 0.10711109941167128, 0.15028047226801403, 0.08126991018243374, 0.07370652641590127, 0.0686070494890347, 0.1201774727016159, 0.13522897248481497, 0.1201774727016159, 0.1153319720512131, 0.1153319720512131, 0.1264244095320309, 0.1153319720512131, 0.10512597291841684, 0.13522897248481497, 0.11137290974883185, 0.13522897248481497, 0.13522897248481497]
28	29	Она пошла навстречу	['пойти', 'навстречу']	[0.9297407048410212, 1.201774727016159]
29	30	Через несколько минут у дачных ворот круто остановился изящный автомобиль-карета, и шофер, ловко спрыгнув с сиденья, распахнул дверцу Сестры радостно поцеловались	['несколько', 'минута', 'дачный', 'ворота', 'круто', 'остановиться', 'изящный', 'автомобиль-карета', 'шофер', 'ловко', 'спрыгнуть', 'сидение', 'распахнуть', 'дверца', 'сестра', 'радостно', 'поцеловаться']	[0.11331930584192092, 0.11797702619766355, 0.1487345994494481, 0.15909290880566465, 0.17680055560942826, 0.1487345994494481, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.17680055560942826, 0.09669891819662868, 0.15909290880566465, 0.17680055560942826]
30	31	Они с самого раннего детства были привязаны друг к другу теплой и заботливой дружбой	['друг', 'ранний', 'детство', 'привязать', 'тёплый', 'заботливый', 'дружба']	[0.5256298645920842, 0.2883299301280327, 0.2883299301280327, 0.37570118067003505, 0.2883299301280327, 0.37570118067003505, 0.3160610238300772]
31	32	По внешности они до странного не были схожи между собою	['внешность', 'странный', 'схожий']	[0.9015264832320997, 0.7424860649922123, 1.0018698151200933]
32	33	Старшая, Вера, пошла в мать, красавицу англичанку, своей высокой гибкой фигурой, нежным, но холодным и гордым лицом, прекрасными, хотя довольно большими руками и той очаровательной покатостью плеч, какую можно видеть на старинных миниатюрах	['старший', 'вера', 'пойти', 'мать', 'красавица', 'англичанка', 'свой', 'высокий', 'гибкий', 'фигура', 'нежный', 'холодный', 'гордый', 'лицо', 'прекрасный', 'хотя', 'довольно', 'больший', 'рука', 'очаровательный', 'покатость', 'плечо', 'видеть', 'старинный', 'миниатюра']	[0.10113952762562471, 0.04284443976466851, 0.0743792563872817, 0.09226557764097047, 0.12022437781441121, 0.12022437781441121, 0.05158424406901925, 0.08642045621384094, 0.12022437781441121, 0.09226557764097047, 0.08909832779906549, 0.09226557764097047, 0.10818317798785197, 0.06907423377629807, 0.07100642095928027, 0.08022437781441122, 0.08909832779906549, 0.0743792563872817, 0.05658179353335125, 0.12022437781441121, 0.12022437781441121, 0.09614197816129272, 0.057972277783719724, 0.09614197816129272, 0.12022437781441121]
33	34	Младшая — Анна, — наоборот, унаследовала монгольскую кровь отца, татарского князя, дед которого крестился только в начале XIX столетия и древний род которого восходил до самого Тамерлана, или Ланг-Темира, как с гордостью называл ее отец, по-татарски, этого великого кровопийцу	['отец', 'младший', 'анна', 'наоборот', 'унаследовать', 'монгольский', 'кровь', 'татарский', 'князь', 'дед', 'креститься', 'начало', 'xix', 'столетие', 'древний', 'родиться', 'восходить', 'тамерлан', 'ланг-темир', 'гордость', 'называть', 'по-татарски', 'великий', 'кровопийца']	[0.21636635597570394, 0.09614197816129272, 0.05896522113272101, 0.12022437781441121, 0.12022437781441121, 0.10818317798785197, 0.09614197816129272, 0.10818317798785197, 0.05948382021929571, 0.12022437781441121, 0.12022437781441121, 0.10113952762562471, 0.12022437781441121, 0.12022437781441121, 0.10113952762562471, 0.12022437781441121, 0.12022437781441121, 0.12022437781441121, 0.12022437781441121, 0.10818317798785197, 0.09614197816129272, 0.12022437781441121, 0.10113952762562471, 0.12022437781441121]
34	35	Она была на полголовы ниже сестры, несколько широкая в плечах, живая и легкомысленная, насмешница	['полголовы', 'ниже', 'сестра', 'несколько', 'широкий', 'плечо', 'живой', 'легкомысленный', 'насмешница']	[0.33395660504003116, 0.33395660504003116, 0.18265351214918749, 0.21404757770140614, 0.28094313229340195, 0.2670610504480353, 0.2474953549974041, 0.33395660504003116, 0.33395660504003116]
35	36	Лицо ее сильно монгольского типа с довольно заметными скулами, с узенькими глазами, которые она к тому же по близорукости щурила, с надменным выражением в маленьком, чувственном рте, особенно в слегка выдвинутой вперед полной нижней губе, — лицо это, однако, пленяло какой-то неуловимой и непонятной прелестью, которая заключалась, может быть, в улыбке, может быть, в глубокой женственности всех черт, может быть, в пикантной, задорно-кокетливой мимике	['мочь', 'лицо', 'сильно', 'монгольский', 'тип', 'довольно', 'заметный', 'скула', 'узенький', 'глаз', 'близорукость', 'щурить', 'надменный', 'выражение', 'маленький', 'чувственный', 'рот', 'особенно', 'слегка', 'выдвинуть', 'вперёд', 'полный', 'нижний', 'губа', 'однако', 'пленять', 'неуловимый', 'непонятный', 'прелесть', 'заключаться', 'улыбка', 'глубокий', 'женственность', 'весь', 'черта', 'пикантный', 'задорно-кокетливый', 'мимика']	[0.10694205373243937, 0.08423687045890008, 0.07330754744781172, 0.06596535243161705, 0.07330754744781172, 0.05432824865796676, 0.07330754744781172, 0.07330754744781172, 0.05862315741542239, 0.037280199771722394, 0.07330754744781172, 0.06596535243161705, 0.07330754744781172, 0.05862315741542239, 0.04613819739154741, 0.07330754744781172, 0.05862315741542239, 0.06167044367416141, 0.06167044367416141, 0.07330754744781172, 0.05862315741542239, 0.05128096239922773, 0.07330754744781172, 0.05128096239922773, 0.05432824865796676, 0.07330754744781172, 0.07330754744781172, 0.07330754744781172, 0.05862315741542239, 0.06596535243161705, 0.05625949856156736, 0.05269540013039082, 0.07330754744781172, 0.03322333582619739, 0.05625949856156736, 0.07330754744781172, 0.07330754744781172, 0.07330754744781172]
36	37	Ее грациозная некрасивость возбуждала и привлекала внимание мужчин гораздо чаще и сильнее, чем аристократическая красота ее сестры Она была замужем за очень богатым и очень глупым человеком, который ровно ничего не делал, но числился при каком-то благотворительном учреждении и имел звание камер-юнкера	['очень', 'грациозный', 'некрасивость', 'возбуждать', 'привлекать', 'внимание', 'мужчина', 'гораздо', 'частый', 'сильный', 'аристократический', 'красота', 'сестра', 'замужем', 'богатый', 'глупый', 'человек', 'ровно', 'делать', 'числиться', 'благотворительный', 'учреждение', 'иметь', 'звание', 'камер-юнкер']	[0.11242626161615421, 0.11560036328308772, 0.11560036328308772, 0.11560036328308772, 0.11560036328308772, 0.09724954579386992, 0.0808661330141668, 0.09244420977047377, 0.09724954579386992, 0.08871690157785622, 0.11560036328308772, 0.07713882482154925, 0.06322621574394953, 0.11560036328308772, 0.09724954579386992, 0.08871690157785622, 0.05824029813561569, 0.09724954579386992, 0.06928805625785983, 0.11560036328308772, 0.10402228652678074, 0.10402228652678074, 0.0808661330141668, 0.11560036328308772, 0.11560036328308772]
37	38	Мужа она терпеть не могла, но родила от него двух детей — мальчика и девочку; больше она решила не иметь детей и не имела	['ребёнок', 'иметь', 'муж', 'терпеть', 'мочь', 'родить', 'мальчик', 'девочка', 'большой', 'решить']	[0.3099135682803404, 0.3504199097280561, 0.14390465370062094, 0.25046745378002333, 0.12179511675083372, 0.25046745378002333, 0.25046745378002333, 0.19221995341868847, 0.12284421069316877, 0.21070734922005147]
